Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,8.780000,8.780000,8.330000,8.550000,8.550000,186461800
2016-12-19,8.500000,8.510000,7.460000,7.680000,7.680000,57280000
2016-12-26,7.680000,8.420000,7.600000,8.400000,8.400000,11895000
2017-01-02,8.400000,8.490000,8.080000,8.150000,8.150000,9064500
2017-01-09,8.140000,8.400000,8.000000,8.220000,8.220000,18202000
2017-01-16,8.220000,8.860000,8.000000,8.820000,8.820000,81123750
2017-01-23,8.820000,9.400000,8.700000,8.990000,8.990000,94574600
2017-01-30,8.990000,9.150000,8.660000,9.110000,9.110000,19143100
2017-02-06,9.160000,9.270000,8.750000,9.020000,9.020000,60415000
2017-02-13,9.090000,9.990000,8.800000,9.830000,9.830000,75701650
2017-02-20,9.920000,10.640000,9.640000,10.100000,10.100000,194760300
2017-02-27,10.100000,10.500000,9.890000,9.980000,9.980000,81111000
2017-03-06,10.000000,12.200000,9.980000,11.900000,11.900000,260921000
2017-03-13,12.080000,18.000000,11.860000,18.000000,18.000000,266023060
2017-03-20,17.540001,23.049999,14.000000,15.500000,15.500000,487739309
2017-03-27,15.700000,16.059999,11.360000,12.180000,12.180000,240788025
2017-04-03,12.200000,14.340000,11.800000,13.080000,13.080000,188698500
2017-04-10,13.020000,13.260000,11.360000,11.780000,11.780000,121510500
2017-04-17,11.780000,11.860000,10.800000,11.100000,11.100000,115900951
2017-04-24,11.100000,12.200000,10.460000,11.700000,11.700000,174652500
2017-05-01,11.700000,11.960000,10.700000,11.000000,11.000000,65374800
2017-05-08,11.200000,11.480000,10.060000,10.320000,10.320000,179665200
2017-05-15,10.500000,11.000000,9.500000,9.700000,9.700000,247731300
2017-05-22,9.690000,9.700000,8.800000,8.930000,8.930000,72877550
2017-05-29,8.890000,9.920000,8.800000,9.730000,9.730000,89542500
2017-06-05,9.730000,9.920000,9.090000,9.150000,9.150000,46115200
2017-06-12,9.010000,9.360000,8.300000,8.510000,8.510000,280467441
2017-06-19,8.550000,8.700000,8.320000,8.610000,8.610000,129354044
2017-06-26,8.610000,8.770000,8.240000,8.500000,8.500000,176317286
2017-07-03,8.410000,11.100000,8.410000,11.000000,11.000000,362172113
2017-07-10,10.800000,11.500000,9.750000,10.680000,10.680000,615611690
2017-07-17,10.740000,12.000000,10.300000,11.600000,11.600000,321592576
2017-07-24,11.560000,11.720000,10.600000,10.880000,10.880000,130876500
